text,label,notes
"Great adventure game. So many things to do. Similar to Skyrim, Elden Ring, Dark Souls, and Witcher.",opinion,
"IF YOU BUY THIS GAME YOU WILL BE SCAMMED. DON'T BE FOOLED BY THE GRAPHICS. DO NOT TRUST POSITIVE REVIEWS.",opinion,
"Crimson Desert is a mix bag. The main story writing was abysmal. Exploration is its strongest aspect. Gameplay feels like what they worked on the most.",opinion,
"Best game of my LIFE - Wow -",joke_meme,
"I got this game to explore, do puzzles, and be in combat. This game does just that. Worth every penny.",opinion,
"Unplayable. Don't buy. The hand holding is beyond infuriating; the control scheme is probably the most baffling I've ever seen in a video game.",opinion,
"AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH",joke_meme,
"A good game but some of the bosses are really annoying to fight, not because of difficulty but because of weird game mechanics.",opinion,
"This is the game I've been waiting for. A ton of depth and a decent story. Loving it.",opinion,
"Just Might Be One Of The Games Of All Time",joke_meme,
"Yesssssss",joke_meme,
"very good",opinion,
"mm",joke_meme,
"very good",opinion,
"This game is outstanding if you don't give up! Crimson Desert will keep your attention for many months or even years.",opinion,
"92 hours in and I've still just scratched the surface outside of Hernand. So many game mechanics and different areas to explore.",opinion,
"Almost 50 hours in and I feel like I've only just started. The amount of patch updates and fixes have made this an absolute joy to play.",opinion,
"Game looks wonderful. Meh story and characterization. 9 out of 10 honestly if it had a strong engaging narrative.",opinion,
"Ye",joke_meme,
"Is there a way to completely disable ray tracing? It makes the game look blurry and dirty even with the setting turned off.",technical,
"Never been so disappointed. What is the story here? The combat is clunky. Characters named Kliff, Ryan and Duane???",opinion,
"great game some mechanics confuse me tho",opinion,
"Very fun game with a great open world. Only real issue is how obscure puzzles and certain mechanics can be.",opinion,
"easily the best single player game ive played in almost 10+ years",opinion,
"Amazing game with a great number of mechanics and systems. 400+ hours in and don't see myself stopping soon.",opinion,
"Lack of mod support. Convoluted button mappings. Input lag when attempting to dodge attacks. Glitchy missions/mechanics.",technical,
"Its real good",opinion,
"It's like a medieval RDR2, but instead of proper storytelling it leaves bits of its story around the world for you to discover.",opinion,
"Hands down one of my all time favorite games. If you're a fan of exploration and not having your hand held, this is the game for you.",opinion,
"Talk with Yann > Follow Yann on horseback > 'You go in alone' > solo the mission > repeat > hate yann",joke_meme,
"They patched a missing knowledge entry a week after I filed a bug report. That is Pearl Abyss's approach. After 930 hours I started a second playthrough.",opinion,
"Exploration gives me the warm fuzzies",joke_meme,
"100 hours in and I haven't even left the main territory yet. This is the Skyrim replacement I had been waiting for.",opinion,
"There are no words for how amazingly perfect this game is. Game of a Lifetime! 150hrs in and I've only seen maybe 20% of the map.",opinion,
"The game is fun but not worth full price — get it on sale. Runs at avg 80 fps on medium settings; sometimes crashes or infinite loading screens.",technical,
"I'm a former BDO player still getting used to it. Game works well on Linux with no issues and no crashes.",technical,
"I love exploring and finding new animal friends. I hope a future update includes a capybara pet (with armor of course).",opinion,
"After 40 hours this game is actually really good. Scenery 10/10, Combat 8/10, Exploration 11/10. Time skips fast.",opinion,
"One of the most impressive open-world action RPGs I've played in years. Right up there with Witcher 3, Elden Ring, and RDR2.",opinion,
"The game does everything right that modern games lack. I am finally enjoying a singleplayer game again.",opinion,
"Fun, and always pushing the envelope both from a technical and narrative aspect.",opinion,
"I waited over two months after launch. I feel like it gives me almost everything I want in a game.",opinion,
"great and awesome open world i hope on next dlc unlock more maps",opinion,
"The constant biweekly updates keep breaking mods. Everything breaks every update. Wait at least a year from release before buying.",opinion,
"It's a beautiful game but that's it. Controls are absurd and get even worse on mouse and keyboard. No direction, no story, no characters.",opinion,
"absolutely top tier game cant recommend enough",opinion,
"Very good. Takes mechanics from Black Desert and blends them into the best open world game I've played since Witcher 3.",opinion,
"Fun game, fun combat",opinion,
"Yet another useless update on a Friday, breaking mods. Stop pushing updates right before the weekend.",opinion,
"I am hooked to this game. Best game I have played after RDR2 and Cyberpunk 2077. Highly recommended, worth the price.",opinion,
"Best RPG I've ever played. The devs continue to improve and add new things. 9.5/10.",opinion,
"HIGHLY RECOMMEND THIS AWESOME GAME, LOVED IT.",opinion,
"10/10",joke_meme,
"Most games can't keep me hooked anymore... but Crimson Desert? That one is f***ing awesome.",opinion,
"This shit is legit",joke_meme,
"Errands in Hernand Simulator. 10 hours of good game but 133 hours of errands.",opinion,
"Gives me Witcher vibes but the story isn't as deep. Not a bad thing at all — it's absolutely incredible in its own way.",opinion,
"Amazing game. Worth it even at full price.",opinion,
"Please fix HDR",technical,
"All in all, great game",opinion,
"Update broke all my mods again",technical,
"good game",opinion,
"Played for 80 hours and still on chapter 6. Game is so good.",opinion,
